Tune_name,do,re,me,mi,fa,fi,so,la,le,te,ti,Other
hommage_a_harmonica_jean.krn.diss_A.txt,8,14,,12,6,2,10,10,,,4,
hommage_a_harmonica_jean_alternate_B-chords.krn.diss_A.txt,8,14,,12,6,2,10,10,,,4,
hommage_a_mes_amis_musiciens.krn.diss_A.txt,7,4,,8,16,,,11,,,6,8
hommage_a_ojnab.krn.diss_A.txt,4,16,,4,,,6,12,,,18,
hommage_a_rock_proulx.krn.diss_A.txt,4,28,,12,,,4,40,,,4,
homme_a_deux_femmes.krn.diss_A.txt,16,,,12,32,,,32,,,20,4
horace_hainsworth.krn.diss_A.txt,,40,,,,,,32,,,,
hornpipe_in_the_style_of_sean_maguire.krn.diss_A.txt,4,8,,8,6,,12,5,,12,12,
house_in_the_glen.krn.diss_A.txt,,12,,,8,,4,4,,,4,
hudie_gallaghers.krn.diss_A.txt,,12,,4,,,20,8,,,,
huffing_up_great_gable.krn.diss_A.txt,,4,4,,8,,12,16,,26,,
hughie_shortys_reel.krn.diss_A.txt,4,16,,4,12,,,,,,8,
hulls_reel.krn.diss_A.txt,6,8,,12,,,4,46,,,,
